Image name,Translated text,Ground truth,Translation language,Image preprocessing,Text_TT,Text_GT,diff_TT/GT,match,oem,similarity
040_3_07_2.png,av,ad,enm,Deskewed,2,2,100.0%,No,0,
040_3_01_4.png,drlmo,Chelmo,enm,Deskewed,5,6,83.33%,No,0,
040_3_25_5.png,comes,comes,enm,Deskewed,5,5,100.0%,Yes,0,
040_3_25_4.png,at,et,enm,Deskewed,2,2,100.0%,No,0,
040_3_05_3.png,as,eis,enm,Deskewed,2,3,66.67%,No,0,
040_3_27_4.png,nel,vel,enm,Deskewed,3,3,100.0%,No,0,
040_3_03_4.png,ranono,racionem,enm,Deskewed,6,8,75.0%,No,0,
040_3_01_6.png,qu,qui,enm,Deskewed,2,3,66.67%,No,0,
040_3_05_6.png,per,per,enm,Deskewed,3,3,100.0%,Yes,0,
040_3_23_5.png,an,ad,enm,Deskewed,2,2,100.0%,No,0,
040_3_27_1.png,babumt,habuerit,enm,Deskewed,6,8,75.0%,No,0,
040_3_25_3.png,mgufzo,Ragusio,enm,Deskewed,6,7,85.71%,No,0,
040_3_03_1.png,mant,niant,enm,Deskewed,4,5,80.0%,No,0,
040_3_25_2.png,vc,de,enm,Deskewed,2,2,100.0%,No,0,
040_3_01_3.png,w,de,enm,Deskewed,1,2,50.0%,No,0,
040_3_18_2.png,fagpza,supra,enm,Deskewed,6,5,120.0%,No,0,
040_3_23_4.png,babumt,habuerit,enm,Deskewed,6,8,75.0%,No,0,
040_3_05_7.png,lum,illos,enm,Deskewed,3,5,60.0%,No,0,
040_3_05_5.png,li,si,enm,Deskewed,2,2,100.0%,No,0,
040_3_21_4.png,wheel,debet,enm,Deskewed,5,5,100.0%,No,0,
040_3_01_1.png,at,ut,enm,Deskewed,2,2,100.0%,No,0,
040_3_27_2.png,fupm,supra,enm,Deskewed,4,5,80.0%,No,0,
040_3_03_2.png,av,ad,enm,Deskewed,2,2,100.0%,No,0,
040_3_18_1.png,nemf,nem,enm,Deskewed,4,3,133.33%,No,0,
040_3_06_1.png,ratusj,ratos,enm,Deskewed,6,5,120.0%,No,0,
040_3_20_2.png,hot,hoc,enm,Deskewed,3,3,100.0%,No,0,
040_3_22_1.png,lbt i,ibi,enm,Deskewed,5,3,166.67%,No,0,
040_3_04_2.png,laud,illud,enm,Deskewed,4,5,80.0%,No,0,
040_3_20_3.png,vebet,debet,enm,Deskewed,5,5,100.0%,No,0,
040_3_06_2.png,MVIW,iudices,enm,Deskewed,4,7,57.14%,No,0,
040_3_22_3.png,at,si,enm,Deskewed,2,2,100.0%,No,0,
040_3_19_5.png,w,de,enm,Deskewed,1,2,50.0%,No,0,
040_3_04_1.png,w,ad,enm,Deskewed,1,2,50.0%,No,0,
040_3_02_3.png,JU,ad,enm,Deskewed,2,2,100.0%,No,0,
040_3_22_6.png,dxlmo,Chelmo,enm,Deskewed,5,6,83.33%,No,0,
040_3_26_3.png,av,ad,enm,Deskewed,2,2,100.0%,No,0,
040_3_02_2.png,ixcrmt,fuerint,enm,Deskewed,6,7,85.71%,No,0,
040_3_06_4.png,Heart,fuerit,enm,Deskewed,5,6,83.33%,No,0,
040_3_22_5.png,w,de,enm,Deskewed,1,2,50.0%,No,0,
040_3_19_3.png,fupza,supra,enm,Deskewed,5,5,100.0%,No,0,
040_3_19_2.png,nel,vel,enm,Deskewed,3,3,100.0%,No,0,
040_3_22_4.png,ames,comes,enm,Deskewed,4,5,80.0%,No,0,
040_3_02_1.png,Wl,vocati,enm,Deskewed,2,6,33.33%,No,0,
040_3_24_2.png,fixpza,supra,enm,Deskewed,6,5,120.0%,No,0,
040_3_13_4.png,pzo,pro,enm,Deskewed,3,3,100.0%,No,0,
040_3_28_2.png,w,de,enm,Deskewed,1,2,50.0%,No,0,
040_3_15_2.png,ofath,osculari,enm,Deskewed,5,8,62.5%,No,0,
040_3_33_1.png,rasufq,Ragusii,enm,Deskewed,6,7,85.71%,No,0,
040_3_31_3.png,w,de,enm,Deskewed,1,2,50.0%,No,0,
040_3_31_2.png,comms,comitis,enm,Deskewed,5,7,71.43%,No,0,
040_3_17_1.png,buent,buerit,enm,Deskewed,5,6,83.33%,No,0,
040_3_15_3.png,cum,eum,enm,Deskewed,3,3,100.0%,No,0,
040_3_28_3.png,chelmo,Chelmo,enm,Deskewed,6,6,100.0%,Yes,0,
040_3_13_5.png,quo,quo,enm,Deskewed,3,3,100.0%,Yes,0,
040_3_11_5.png,ums,viris ,enm,Deskewed,3,6,50.0%,No,0,
040_3_33_2.png,A,Et,enm,Deskewed,1,2,50.0%,No,0,
040_3_15_1.png,Wbct,debet,enm,Deskewed,4,5,80.0%,No,0,
040_3_08_4.png,Muun,filium,enm,Deskewed,4,6,66.67%,No,0,
040_3_17_3.png,quvnvum,querendum,enm,Deskewed,7,9,77.78%,No,0,
040_3_17_2.png,av,ad,enm,Deskewed,2,2,100.0%,No,0,
040_3_31_1.png,tum,tum,enm,Deskewed,3,3,100.0%,Yes,0,
040_3_08_5.png,aut,aut,enm,Deskewed,3,3,100.0%,Yes,0,
040_3_33_3.png,if,si,enm,Deskewed,2,2,100.0%,No,0,
040_3_13_6.png,m,iu,enm,Deskewed,1,2,50.0%,No,0,
040_3_13_2.png,W,prope,enm,Deskewed,1,5,20.0%,No,0,
040_3_28_4.png,ubw,istud,enm,Deskewed,3,5,60.0%,No,0,
040_3_33_7.png,m,Ra,enm,Deskewed,1,2,50.0%,No,0,
040_3_15_4.png,OZC,ore,enm,Deskewed,3,3,100.0%,No,0,
040_3_31_4.png,dyelmo,Chelmo,enm,Deskewed,6,6,100.0%,No,0,
040_3_15_5.png,iEc,Et,enm,Deskewed,3,2,150.0%,No,0,
040_3_13_3.png,dlum,illum,enm,Deskewed,4,5,80.0%,No,0,
040_3_11_1.png,unum,unum,enm,Deskewed,4,4,100.0%,Yes,0,
040_3_11_3.png,Ram,suis,enm,Deskewed,3,4,75.0%,No,0,
040_3_13_1.png,lame,stare,enm,Deskewed,4,5,80.0%,No,0,
