Word,Count,oem
,1,0
a,1,0
ames,1,0
an,2,0
as,1,0
at,4,0
aut,1,0
av,4,0
ay,1,0
babumt,2,0
bet,1,0
buent,1,0
cbelmo,1,0
chelmo,1,0
cms,1,0
comes,3,0
comms,1,0
cum,1,0
dlum,1,0
drlmo,1,0
dxlmo,2,0
dyelmo,1,0
fagpza,1,0
feu,1,0
fit,2,0
fixpza,1,0
ft,1,0
fupm,1,0
fupza,1,0
heart,1,0
hlbl,1,0
hot,1,0
iec,1,0
if,1,0
ii,1,0
it,1,0
ixcrmt,1,0
ju,1,0
lame,1,0
latus,1,0
laud,1,0
lbt i,1,0
lch,1,0
li,1,0
lum,1,0
m,4,0
mant,1,0
mgufzo,1,0
mmmtum,1,0
mrdt i,1,0
muun,1,0
mviw,1,0
nel,2,0
nemf,1,0
ofath,1,0
ozc,1,0
per,2,0
plaa,1,0
pladtmn,1,0
pldatttur,1,0
pzo,1,0
qu,1,0
quanw,1,0
quo,1,0
quvnvum,1,0
ram,1,0
ranono,1,0
rare,1,0
rasufq,1,0
ratusj,1,0
thaat,1,0
tum,1,0
tumrc,1,0
ubw,1,0
ums,1,0
unum,1,0
vc,1,0
vcbct,1,0
ve,1,0
vebet,1,0
w,9,0
wbct,1,0
wheel,1,0
wiw,1,0
wl,1,0
wo,1,0
ww,1,0
a,1,1
ad,4,1
adv,2,1
apza,1,1
au,1,1
aus,1,1
aut,1,1
av,2,1
babuerit,1,1
babuert,1,1
bet,1,1
buent,1,1
chelmo,6,1
cls,1,1
comes,4,1
comins,1,1
comitis,1,1
communis,1,1
ct,1,1
cum,1,1
ec,1,1
fagat,1,1
fc,1,1
fi,4,1
fient,1,1
filum,1,1
fir,1,1
fit,1,1
fuerint,1,1
fupa,1,1
guly,1,1
hoe,1,1
i,2,1
ibt,1,1
id,1,1
ie,1,1
illud,1,1
ip,1,1
jd,1,1
ke,1,1
latus,1,1
le,1,1
lius,1,1
los,1,1
ls of,1,1
mn,1,1
nem,1,1
niant,1,1
oc,1,1
ofailan,1,1
oy,1,1
per,2,1
plaa,1,1
plaacetur,1,1
plaatum,1,1
po,1,1
pope,1,1
quantw,1,1
querenvum,1,1
quo,1,1
racgone,1,1
raguiy,1,1
ragulio,1,1
rarc,1,1
rates,1,1
ratio,1,1
tbr,1,1
te,1,1
thre,1,1
tum,1,1
ucan,1,1
uel,2,1
ul,1,1
ulum,1,1
unum,1,1
upea,2,1
urs,1,1
ut,2,1
uwrare,1,1
vc,1,1
ve,1,1
vebes,1,1
vebet,1,1
webert,1,1
wpcaatum,1,1
wrat,1,1
wrbee,1,1
wvebet,1,1
ww,2,1
wwnces,1,1
a,1,2
ad,3,2
add,1,2
aus,1,2
aut,1,2
av,1,2
avp,1,2
babuerit,1,2
babuert,1,2
bet,1,2
buent,1,2
chelmo,6,2
cls,1,2
comes,4,2
comins,1,2
comitis,1,2
coomuunis,1,2
ct,1,2
cum,1,2
d,3,2
ec,1,2
fagat,1,2
fc,1,2
fhre,1,2
fi,4,2
fient,1,2
filum,1,2
fir,1,2
fit,1,2
fuerint,1,2
fupa,1,2
guly,1,2
hoce,1,2
i,1,2
ibr,1,2
ibt,1,2
ie,1,2
illos,1,2
illud,1,2
iup,1,2
iw,1,2
jd,1,2
jke,1,2
latus,1,2
le,1,2
lius,1,2
mn,1,2
nem,1,2
niant,1,2
oc,1,2
ofailan,1,2
per,2,2
plaa,1,2
plaatuur,1,2
pladtum,1,2
pope,1,2
pzo,1,2
qau,1,2
quantw,1,2
querenvum,1,2
quo,1,2
racgone,1,2
racio,1,2
raguiy,1,2
ragulio,1,2
rarc,1,2
rates,1,2
s o,1,2
te,1,2
tum,1,2
tzipzj,1,2
u,1,2
ucan,1,2
uel,2,2
ulum,1,2
unrs,1,2
unum,1,2
upea,2,2
ut,2,2
uwrare,1,2
vc,1,2
ve,1,2
vebes,1,2
vebet,1,2
w,2,2
webert,1,2
wpcaatum,1,2
wrat,1,2
wrbee,1,2
wvebet,1,2
wwnces,1,2
y,1,2
a,1,3
ad,3,3
add,1,3
aus,1,3
aut,1,3
av,1,3
avp,1,3
babuerit,1,3
babuert,1,3
bet,1,3
buent,1,3
chelmo,6,3
cls,1,3
comes,4,3
comins,1,3
comitis,1,3
coomuunis,1,3
ct,1,3
cum,1,3
d,3,3
ec,1,3
fagat,1,3
fc,1,3
fhre,1,3
fi,4,3
fient,1,3
filum,1,3
fir,1,3
fit,1,3
fuerint,1,3
fupa,1,3
guly,1,3
hoce,1,3
i,1,3
ibr,1,3
ibt,1,3
ie,1,3
illos,1,3
illud,1,3
iup,1,3
iw,1,3
jd,1,3
jke,1,3
latus,1,3
le,1,3
lius,1,3
mn,1,3
nem,1,3
niant,1,3
oc,1,3
ofailan,1,3
per,2,3
plaa,1,3
plaatuur,1,3
pladtum,1,3
pope,1,3
pzo,1,3
qau,1,3
quantw,1,3
querenvum,1,3
quo,1,3
racgone,1,3
racio,1,3
raguiy,1,3
ragulio,1,3
rarc,1,3
rates,1,3
s o,1,3
te,1,3
tum,1,3
tzipzj,1,3
u,1,3
ucan,1,3
uel,2,3
ulum,1,3
unrs,1,3
unum,1,3
upea,2,3
ut,2,3
uwrare,1,3
vc,1,3
ve,1,3
vebes,1,3
vebet,1,3
w,2,3
webert,1,3
wpcaatum,1,3
wrat,1,3
wrbee,1,3
wvebet,1,3
wwnces,1,3
y,1,3
